,VideoId,SaveIdName,Time,Bbox
17834,pzE6SVUHAYE,pzE6SVUHAYE_8.mp4,"(90.84, 94.64)","[0.0324, 0.7194, 0.1625, 0.549]"
17835,7NHQrVt1yOU,7NHQrVt1yOU_1.mp4,"(56.72, 64.86)","[0.0, 0.8648, 0.4573, 0.9437]"
17836,KTugpKzfZJk,KTugpKzfZJk_0.mp4,"(4.17, 9.63)","[0.0, 0.8759, 0.4458, 0.9385]"
17837,rgXplohCw5o,rgXplohCw5o_0.mp4,"(44.34, 47.3)","[0.0407, 0.6037, 0.2786, 0.5953]"
17838,o2xprwwIMXM,o2xprwwIMXM_3.mp4,"(59.23, 62.81)","[0.0065, 0.9065, 0.176, 0.6823]"
17839,_r6i8Ae0cvo,_r6i8Ae0cvo_5.mp4,"(190.19, 194.24)","[0.0213, 0.7176, 0.4807, 0.8724]"
17840,WVPiiYigPTI,WVPiiYigPTI_6.mp4,"(205.21, 208.17)","[0.0, 0.8296, 0.1297, 0.5964]"
17841,KprKHSAAn7U,KprKHSAAn7U_4.mp4,"(84.29, 95.05)","[0.0, 0.9167, 0.0995, 0.6151]"
17842,W_WSGHIPSrM,W_WSGHIPSrM_1.mp4,"(56.06, 61.73)","[0.0324, 0.6991, 0.4161, 0.7911]"
17843,_ci5_BEuzEQ,_ci5_BEuzEQ_0.mp4,"(4.17, 10.14)","[0.0, 0.7981, 0.3245, 0.7734]"
17844,tQT9e3YvAvM,tQT9e3YvAvM_2.mp4,"(119.29, 126.79)","[0.0, 0.7111, 0.3615, 0.7615]"
17845,6wC2DqFJ7UE,6wC2DqFJ7UE_2.mp4,"(30.86, 34.83)","[0.0528, 0.6713, 0.5302, 0.8781]"
17846,rAa2_fTwcQI,rAa2_fTwcQI_2.mp4,"(112.86, 116.53)","[0.0, 0.8167, 0.2266, 0.6859]"
17847,ZMQCyJ2lhu8,ZMQCyJ2lhu8_0.mp4,"(0.83, 3.92)","[0.0, 0.9241, 0.1865, 0.7063]"
17848,3z5MojhWe1o,3z5MojhWe1o_0.mp4,"(41.79, 45.0)","[0.0, 0.9704, 0.349, 0.8948]"
17849,2cJGGVlQ8X8,2cJGGVlQ8X8_3.mp4,"(114.28, 117.45)","[0.1333, 0.687, 0.2323, 0.5437]"
17850,4zT1vWidAJ0,4zT1vWidAJ0_1.mp4,"(54.85, 58.14)","[0.038, 0.8139, 0.213, 0.6495]"
17851,9VY3OKScxP4,9VY3OKScxP4_1.mp4,"(20.85, 24.61)","[0.0, 0.8611, 0.4208, 0.9052]"
17852,IwrE62wZwHE,IwrE62wZwHE_8.mp4,"(93.97, 98.1)","[0.0, 0.9667, 0.1885, 0.7323]"
17853,dgdEr-mXQT4,dgdEr-mXQT4_3.mp4,"(33.58, 37.7)","[0.0, 0.6889, 0.1411, 0.5286]"
17854,NCmWYsugl5Y,NCmWYsugl5Y_0.mp4,"(30.07, 33.66)","[0.0, 0.7148, 0.2104, 0.6125]"
