,VideoId,SaveIdName,Time,Bbox
8917,k5bN73OnGmo,k5bN73OnGmo_5.mp4,"(123.62, 126.63)","[0.0676, 0.5417, 0.6594, 0.926]"
8918,vyb2Imfghkg,vyb2Imfghkg_6.mp4,"(99.27, 102.64)","[0.0528, 0.6602, 0.5146, 0.8562]"
8919,5vqnFqc4XEQ,5vqnFqc4XEQ_5.mp4,"(103.44, 108.44)","[0.1444, 0.6185, 0.1536, 0.4203]"
8920,PurV6BzV3fI,PurV6BzV3fI_1.mp4,"(118.16, 121.45)","[0.0, 0.7204, 0.3589, 0.7641]"
8921,rqdEaDM2PWM,rqdEaDM2PWM_0.mp4,"(45.05, 48.26)","[0.0, 0.9352, 0.2266, 0.7526]"
8922,pYmo3PXF_T4,pYmo3PXF_T4_4.mp4,"(115.7, 124.67)","[0.113, 0.6352, 0.375, 0.6687]"
8923,w9KBOhPXhds,w9KBOhPXhds_0.mp4,"(50.97, 55.14)","[0.0, 0.963, 0.4526, 0.9943]"
8924,Tv5BC6yJ61o,Tv5BC6yJ61o_2.mp4,"(87.71, 91.3)","[0.0537, 0.8093, 0.3156, 0.7406]"
8925,Ch1DsDy-osI,Ch1DsDy-osI_2.mp4,"(66.44, 70.15)","[0.0, 0.9741, 0.2203, 0.7682]"
8926,emJhqKBtcBU,emJhqKBtcBU_0.mp4,"(30.03, 33.07)","[0.0, 0.7389, 0.4083, 0.824]"
8927,I2terj2CfQ0,I2terj2CfQ0_1.mp4,"(35.87, 40.46)","[0.0083, 0.6157, 0.4682, 0.8099]"
8928,68skjB-WHFA,68skjB-WHFA_2.mp4,"(50.76, 55.85)","[0.0, 0.5944, 0.1661, 0.5005]"
8929,Dwiczhta4e0,Dwiczhta4e0_1.mp4,"(29.2, 32.16)","[0.0269, 0.7213, 0.4286, 0.8193]"
8930,ROeSh72M-Zs,ROeSh72M-Zs_2.mp4,"(156.26, 160.36)","[0.0, 0.7111, 0.4797, 0.8797]"
8931,hOnolgR_8tc,hOnolgR_8tc_3.mp4,"(96.76, 101.89)","[0.0, 0.863, 0.1031, 0.5885]"
8932,HeRIwSpHZCk,HeRIwSpHZCk_7.mp4,"(98.33, 101.5)","[0.0, 0.9648, 0.0, 0.5427]"
8933,891-YR-fgsk,891-YR-fgsk_2.mp4,"(113.66, 124.33)","[0.0, 0.9815, 0.3234, 0.8755]"
8934,NZ2d4n4y-pw,NZ2d4n4y-pw_1.mp4,"(105.44, 108.73)","[0.0, 0.9889, 0.1625, 0.7188]"
8935,Uw1WGruy_KI,Uw1WGruy_KI_0.mp4,"(10.22, 13.35)","[0.0454, 0.7454, 0.4349, 0.8286]"
8936,TBHjt3AyALw,TBHjt3AyALw_1.mp4,"(57.68, 61.69)","[0.0, 0.9241, 0.15, 0.6698]"
8937,GeqKdTZugxs,GeqKdTZugxs_2.mp4,"(92.63, 101.23)","[0.0, 0.9574, 0.4094, 0.9479]"
8938,088CLxgnr8w,088CLxgnr8w_1.mp4,"(114.32, 121.71)","[0.0, 0.6204, 0.4229, 0.7719]"
8939,AcSDeQhGGFM,AcSDeQhGGFM_4.mp4,"(59.23, 65.82)","[0.0, 0.8167, 0.3328, 0.7922]"
8940,Ehaogw2TNOQ,Ehaogw2TNOQ_1.mp4,"(110.94, 117.16)","[0.0, 0.7741, 0.2411, 0.6766]"
8941,ZFgKnplm844,ZFgKnplm844_4.mp4,"(65.07, 73.99)","[0.0259, 0.637, 0.3406, 0.6844]"
8942,_tYTcz52ZB8,_tYTcz52ZB8_0.mp4,"(29.2, 33.32)","[0.0185, 0.613, 0.1922, 0.5266]"
8943,an8Z9J29zWo,an8Z9J29zWo_3.mp4,"(131.05, 134.68)","[0.0, 0.5241, 0.2964, 0.5911]"
8944,YXt8RmeU_AA,YXt8RmeU_AA_4.mp4,"(151.82, 155.7)","[0.0, 0.9241, 0.4313, 0.951]"
8945,Uw1WGruy_KI,Uw1WGruy_KI_1.mp4,"(31.87, 36.04)","[0.1009, 0.5935, 0.3943, 0.6714]"
8946,GmCQKYJmcBk,GmCQKYJmcBk_2.mp4,"(143.85, 148.11)","[0.0, 0.6574, 0.0911, 0.4609]"
8947,NZ2d4n4y-pw,NZ2d4n4y-pw_0.mp4,"(41.92, 44.88)","[0.0, 0.7519, 0.125, 0.5479]"
8948,TBHjt3AyALw,TBHjt3AyALw_0.mp4,"(51.93, 55.01)","[0.0, 0.9037, 0.1906, 0.699]"
8949,oaqSAdVXx-o,oaqSAdVXx-o_0.mp4,"(27.57, 31.66)","[0.0, 0.8759, 0.076, 0.5687]"
8950,hOnolgR_8tc,hOnolgR_8tc_2.mp4,"(56.72, 76.7)","[0.0, 0.9685, 0.1021, 0.6469]"
8951,DL-fT3OymQI,DL-fT3OymQI_0.mp4,"(30.28, 34.08)","[0.1519, 0.7185, 0.3073, 0.626]"
8952,vYPGIDNiY6E,vYPGIDNiY6E_0.mp4,"(18.52, 21.52)","[0.0, 0.8537, 0.3714, 0.8516]"
8953,HeRIwSpHZCk,HeRIwSpHZCk_6.mp4,"(76.67, 81.83)","[0.0, 0.937, 0.2745, 0.8016]"
8954,891-YR-fgsk,891-YR-fgsk_3.mp4,"(130.34, 134.34)","[0.0, 0.8796, 0.1104, 0.6052]"
8955,Ehaogw2TNOQ,Ehaogw2TNOQ_0.mp4,"(5.84, 9.18)","[0.088, 0.6657, 0.1693, 0.4943]"
8956,ZFgKnplm844,ZFgKnplm844_5.mp4,"(81.75, 87.59)","[0.025, 0.6343, 0.3516, 0.6943]"
8957,_tYTcz52ZB8,_tYTcz52ZB8_1.mp4,"(95.14, 98.18)","[0.125, 0.6565, 0.1812, 0.4802]"
8958,088CLxgnr8w,088CLxgnr8w_0.mp4,"(106.82, 113.49)","[0.0, 0.7241, 0.1208, 0.5281]"
8959,AcSDeQhGGFM,AcSDeQhGGFM_5.mp4,"(66.73, 69.94)","[0.1222, 0.6648, 0.575, 0.8802]"
8960,01ClRWyf9I4,01ClRWyf9I4_0.mp4,"(62.98, 67.11)","[0.0, 0.8762, 0.2448, 0.8344]"
8961,IBjOZQCPPXQ,IBjOZQCPPXQ_1.mp4,"(22.69, 25.9)","[0.0, 0.8815, 0.3594, 0.8552]"
8962,FmYGC2QdXd4,FmYGC2QdXd4_5.mp4,"(105.94, 108.9)","[0.0, 0.913, 0.1276, 0.6411]"
8963,PoaOwSPJPHw,PoaOwSPJPHw_1.mp4,"(80.12, 83.25)","[0.0, 0.8907, 0.2391, 0.7401]"
8964,HZAevWIDogo,HZAevWIDogo_4.mp4,"(134.01, 137.43)","[0.0, 0.8204, 0.2693, 0.7307]"
8965,u5ZmoPBqVmQ,u5ZmoPBqVmQ_0.mp4,"(4.17, 7.38)","[0.0, 0.6333, 0.1755, 0.5318]"
8966,ktZkTX_kE8g,ktZkTX_kE8g_7.mp4,"(101.77, 105.77)","[0.0, 0.8074, 0.488, 0.9422]"
8967,FcZp44Y9GDc,FcZp44Y9GDc_0.mp4,"(24.19, 27.24)","[0.0556, 0.5907, 0.051, 0.3521]"
8968,ftNK4JPSoto,ftNK4JPSoto_5.mp4,"(80.91, 89.71)","[0.0806, 0.6213, 0.4526, 0.7568]"
8969,KMkqZXi2Rlc,KMkqZXi2Rlc_1.mp4,"(37.2, 41.08)","[0.0, 0.7259, 0.1505, 0.5589]"
8970,j0cqqCpIZHE,j0cqqCpIZHE_3.mp4,"(73.07, 78.33)","[0.1139, 0.6787, 0.4745, 0.7922]"
8971,UeCpUca9VUs,UeCpUca9VUs_2.mp4,"(121.08, 124.17)","[0.0, 0.9519, 0.2859, 0.8214]"
8972,vEFoOcev00s,vEFoOcev00s_4.mp4,"(89.55, 92.63)","[0.0, 0.8611, 0.2203, 0.7047]"
8973,wkoHQdbhfOc,wkoHQdbhfOc_3.mp4,"(154.32, 163.33)","[0.1157, 0.6398, 0.5526, 0.8474]"
8974,oH-kAHKtbTE,oH-kAHKtbTE_9.mp4,"(100.1, 111.03)","[0.0, 0.787, 0.5094, 0.9521]"
8975,3nYrako9XM4,3nYrako9XM4_1.mp4,"(38.37, 41.5)","[0.0, 0.7296, 0.449, 0.8594]"
8976,MIf0-lD8ldk,MIf0-lD8ldk_0.mp4,"(19.19, 39.16)","[0.0065, 0.7361, 0.2333, 0.6438]"
8977,FWznyZ9Znuw,FWznyZ9Znuw_1.mp4,"(18.35, 25.9)","[0.0, 0.8907, 0.4161, 0.9172]"
8978,IlBmpyhCgcU,IlBmpyhCgcU_1.mp4,"(62.23, 65.52)","[0.0583, 0.638, 0.5609, 0.887]"
8979,svikoeV1zIY,svikoeV1zIY_2.mp4,"(145.44, 148.36)","[0.0009, 0.5435, 0.451, 0.7562]"
8980,xu_UgfGriXA,xu_UgfGriXA_97.mp4,"(2480.75, 2485.05)","[0.0, 0.7833, 0.3406, 0.7812]"
8981,ktZkTX_kE8g,ktZkTX_kE8g_6.mp4,"(97.6, 101.14)","[0.0685, 0.75, 0.1964, 0.5797]"
8982,PoaOwSPJPHw,PoaOwSPJPHw_0.mp4,"(47.55, 50.47)","[0.0, 0.9611, 0.2125, 0.7531]"
8983,vEFoOcev00s,vEFoOcev00s_5.mp4,"(107.15, 111.03)","[0.0111, 0.6778, 0.1786, 0.5536]"
8984,ftNK4JPSoto,ftNK4JPSoto_4.mp4,"(75.91, 80.21)","[0.0, 0.9667, 0.0948, 0.6385]"
8985,KMkqZXi2Rlc,KMkqZXi2Rlc_0.mp4,"(0.88, 4.13)","[0.0, 0.9167, 0.0354, 0.551]"
8986,Nv_M7NxzIYA,Nv_M7NxzIYA_2.mp4,"(21.69, 31.61)","[0.0139, 0.6565, 0.463, 0.8245]"
8987,01ClRWyf9I4,01ClRWyf9I4_1.mp4,"(69.32, 73.87)","[0.0, 0.6099, 0.2026, 0.613]"
8988,FmYGC2QdXd4,FmYGC2QdXd4_4.mp4,"(95.1, 105.56)","[0.0, 0.8315, 0.3948, 0.8625]"
8989,Bv7OBXHKPMw,Bv7OBXHKPMw_4.mp4,"(91.05, 94.68)","[0.0, 0.8093, 0.5156, 0.9708]"
8990,xu_UgfGriXA,xu_UgfGriXA_96.mp4,"(2472.07, 2476.81)","[0.0, 0.5907, 0.4357, 0.768]"
8991,wr4rZEPQ09Y,wr4rZEPQ09Y_0.mp4,"(70.9, 74.16)","[0.0, 0.5815, 0.4786, 0.8057]"
8992,zlaK8yJFneQ,zlaK8yJFneQ_6.mp4,"(126.75, 132.55)","[0.0426, 0.5852, 0.2062, 0.5115]"
8993,oH-kAHKtbTE,oH-kAHKtbTE_8.mp4,"(73.41, 87.05)","[0.0, 0.8037, 0.2812, 0.7333]"
8994,wkoHQdbhfOc,wkoHQdbhfOc_2.mp4,"(109.28, 118.37)","[0.0, 0.9704, 0.4542, 1.0]"
8995,5A9D-XVmK10,5A9D-XVmK10_0.mp4,"(8.51, 12.43)","[0.0, 0.9778, 0.3443, 0.8943]"
8996,IlBmpyhCgcU,IlBmpyhCgcU_0.mp4,"(57.27, 61.02)","[0.0713, 0.6028, 0.612, 0.9109]"
8997,3nYrako9XM4,3nYrako9XM4_0.mp4,"(29.2, 36.16)","[0.0, 0.7, 0.4734, 0.8672]"
8998,MIf0-lD8ldk,MIf0-lD8ldk_1.mp4,"(39.21, 59.18)","[0.0, 0.8741, 0.2505, 0.7422]"
8999,MRY7aw6iEb0,MRY7aw6iEb0_1.mp4,"(54.39, 57.72)","[0.0, 0.8444, 0.4193, 0.8943]"
9000,-2KGPYEFnsU,-2KGPYEFnsU_5.mp4,"(65.07, 72.86)","[0.0, 0.7148, 0.4135, 0.8156]"
9001,qLq6GizMPu4,qLq6GizMPu4_2.mp4,"(41.88, 46.09)","[0.0056, 0.5056, 0.1437, 0.425]"
9002,dN1RMOrtK7A,dN1RMOrtK7A_1.mp4,"(117.49, 120.62)","[0.0, 0.7278, 0.0953, 0.5047]"
9003,t-a9Zi8-n5Y,t-a9Zi8-n5Y_0.mp4,"(21.69, 25.07)","[0.0, 0.975, 0.3898, 0.9383]"
9004,Ej_fgugvtRg,Ej_fgugvtRg_1.mp4,"(75.7, 81.21)","[0.0, 0.6907, 0.1651, 0.5536]"
9005,XFK5SV1-Pzg,XFK5SV1-Pzg_4.mp4,"(92.59, 95.55)","[0.1056, 0.713, 0.2703, 0.612]"
9006,lQFETfawU5o,lQFETfawU5o_0.mp4,"(67.19, 70.11)","[0.0, 0.5148, 0.3406, 0.6302]"
9007,-uvR2Z-YiCQ,-uvR2Z-YiCQ_0.mp4,"(15.35, 20.22)","[0.0509, 0.7157, 0.4437, 0.8177]"
9008,ZXkKHnmKWoI,ZXkKHnmKWoI_7.mp4,"(113.07, 116.57)","[0.0, 0.6944, 0.2604, 0.651]"
