,VideoId,SaveIdName,Time,Bbox
26750,uC72PgziOW4,uC72PgziOW4_0.mp4,"(12.01, 15.88)","[0.0431, 0.7542, 0.4219, 0.8219]"
26751,uC72PgziOW4,uC72PgziOW4_2.mp4,"(28.7, 41.31)","[0.0, 0.8833, 0.3766, 0.8734]"
26752,UCYakzpFafA,UCYakzpFafA_1.mp4,"(7.04, 10.78)","[0.0, 0.7111, 0.3203, 0.7203]"
26753,UCYakzpFafA,UCYakzpFafA_2.mp4,"(18.69, 21.02)","[0.0, 0.7333, 0.343, 0.7555]"
26754,UCYakzpFafA,UCYakzpFafA_3.mp4,"(23.36, 27.29)","[0.0, 0.8, 0.2742, 0.7242]"
26755,UCYakzpFafA,UCYakzpFafA_6.mp4,"(76.18, 82.32)","[0.0, 0.8417, 0.2672, 0.7406]"
26756,uDSpkQ8U2Hs,uDSpkQ8U2Hs_0.mp4,"(29.8, 36.57)","[0.0, 0.7111, 0.2977, 0.6977]"
26757,uDSpkQ8U2Hs,uDSpkQ8U2Hs_3.mp4,"(106.94, 114.58)","[0.0, 0.7111, 0.3102, 0.7102]"
26758,udyYWWrQKEM,udyYWWrQKEM_0.mp4,"(6.01, 9.44)","[0.0333, 0.7583, 0.2008, 0.6086]"
26759,udyYWWrQKEM,udyYWWrQKEM_1.mp4,"(25.36, 28.23)","[0.0, 0.7528, 0.1797, 0.6031]"
26760,udyYWWrQKEM,udyYWWrQKEM_2.mp4,"(38.04, 41.41)","[0.0236, 0.8097, 0.0, 0.4422]"
26761,udyYWWrQKEM,udyYWWrQKEM_9.mp4,"(112.51, 115.32)","[0.0, 0.7417, 0.143, 0.5602]"
26762,UEjGEXAndzY,UEjGEXAndzY_0.mp4,"(1.76, 10.36)","[0.0, 0.7111, 0.1508, 0.5508]"
26763,UEjGEXAndzY,UEjGEXAndzY_8.mp4,"(74.4, 94.36)","[0.0, 0.7111, 0.143, 0.543]"
26764,UEjGEXAndzY,UEjGEXAndzY_14.mp4,"(162.4, 177.28)","[0.0, 0.7111, 0.1328, 0.5328]"
26765,UEjGEXAndzY,UEjGEXAndzY_15.mp4,"(177.6, 180.16)","[0.0, 0.7111, 0.2172, 0.6172]"
26766,UEjGEXAndzY,UEjGEXAndzY_16.mp4,"(184.0, 203.96)","[0.0, 0.7861, 0.1562, 0.5984]"
26767,UEjGEXAndzY,UEjGEXAndzY_17.mp4,"(204.0, 223.96)","[0.0, 0.7111, 0.1906, 0.5906]"
26768,UEjGEXAndzY,UEjGEXAndzY_19.mp4,"(330.68, 343.88)","[0.0, 0.7111, 0.1352, 0.5352]"
26769,UF4_Wq4EDp4,UF4_Wq4EDp4_0.mp4,"(12.0, 15.56)","[0.0, 0.9528, 0.2008, 0.7367]"
26770,UF4_Wq4EDp4,UF4_Wq4EDp4_16.mp4,"(96.8, 100.64)","[0.0, 0.7111, 0.2703, 0.6703]"
26771,uGfV6cTXeE4,uGfV6cTXeE4_0.mp4,"(0.0, 12.68)","[0.0, 0.95, 0.2695, 0.8039]"
